,top_k,temperature,epoch,lgan_mmd-CD,lgan_cov-CD,lgan_mmd_smp-CD,1-NN-CD-acc_t,1-NN-CD-acc_f,1-NN-CD-acc,fid
0,3,0.8,0,0.106501005589962,0.3125,0.09987499564886093,0.875,0.875,0.875,27.30553436279297
0,3,0.8,1,0.07584624737501144,0.375,0.10657757520675659,0.96875,0.90625,0.9375,28.207691192626953
0,3,0.8,2,0.10246989876031876,0.375,0.11533600091934204,0.9375,0.84375,0.890625,28.520374298095703
0,3,0.8,3,0.11512048542499542,0.4375,0.13222646713256836,0.96875,0.84375,0.90625,35.92885971069336
0,3,0.8,4,0.10162793099880219,0.34375,0.11570790410041809,0.96875,0.90625,0.9375,29.959447860717773
0,3,0.8,5,0.09119793772697449,0.40625,0.10777837038040161,0.96875,0.875,0.921875,26.4028377532959
0,3,0.8,6,0.14070068299770355,0.375,0.12169881165027618,0.96875,0.84375,0.90625,34.460262298583984
0,3,0.8,7,0.10512756556272507,0.34375,0.1034315675497055,1.0,0.875,0.9375,30.170122146606445
0,3,0.8,8,0.12240791320800781,0.375,0.09980376064777374,0.90625,0.8125,0.859375,25.28177833557129
0,3,0.8,9,0.09417185187339783,0.4375,0.12752209603786469,0.9375,0.8125,0.875,29.48468017578125
0,3,0.8,10,0.1096247136592865,0.40625,0.09546881914138794,0.9375,0.90625,0.921875,27.2215576171875
0,3,0.8,11,0.0946638286113739,0.40625,0.10923466086387634,0.9375,0.84375,0.890625,27.634449005126953
0,3,0.8,12,0.08172101527452469,0.46875,0.12883469462394714,0.96875,0.84375,0.90625,30.3183536529541
0,3,0.8,13,0.1006796658039093,0.40625,0.13551846146583557,0.96875,0.84375,0.90625,40.02204513549805
0,3,0.8,14,0.09293566644191742,0.375,0.109531931579113,0.96875,0.90625,0.9375,31.216440200805664
0,3,0.8,15,0.08696813136339188,0.375,0.13049522042274475,1.0,0.8125,0.90625,36.63853454589844
0,3,0.8,16,0.11624276638031006,0.34375,0.11806729435920715,0.96875,0.8125,0.890625,36.794342041015625
0,3,0.8,17,0.10024838149547577,0.46875,0.1263381689786911,0.96875,0.84375,0.90625,30.752134323120117
0,3,0.8,18,0.1177082359790802,0.375,0.1322660595178604,0.96875,0.90625,0.9375,41.06330490112305
0,3,0.8,19,0.13323700428009033,0.40625,0.1239040195941925,0.9375,0.8125,0.875,33.783546447753906
0,3,0.8,20,0.07806888222694397,0.40625,0.13517296314239502,0.9375,0.875,0.90625,36.55278015136719
0,3,0.8,21,0.10534484684467316,0.46875,0.09733153879642487,0.96875,0.71875,0.84375,24.377920150756836
0,3,0.8,22,0.10693423449993134,0.4375,0.1252424418926239,1.0,0.84375,0.921875,33.33121109008789
0,3,0.8,23,0.12808842957019806,0.28125,0.11467273533344269,0.9375,0.96875,0.953125,28.911197662353516
0,3,0.8,24,0.10621234774589539,0.375,0.10218372941017151,0.96875,0.8125,0.890625,29.542268753051758
0,3,0.8,25,0.09775319695472717,0.40625,0.11965806037187576,1.0,0.96875,0.984375,39.123802185058594
0,3,0.8,26,0.08496864885091782,0.34375,0.08890165388584137,0.875,0.90625,0.890625,21.268539428710938
0,3,0.8,27,0.1228867620229721,0.40625,0.11875835806131363,1.0,0.875,0.9375,26.66848373413086
